"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "rx" "ry" "inside"
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 772 564 449.952219685602 -2.8421709430404e-14 195.365188022458 -35.6993460577299 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 738 591 449.952219685602 -2.8421709430404e-14 238.778686490471 -35.1815132972586 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 718 609 449.952219685602 -2.8421709430404e-14 265.652651038194 -36.5194331333261 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 708 614 449.952219685602 -2.8421709430404e-14 276.564920797483 -34.0858414049308 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 678 624 449.952219685602 -2.8421709430404e-14 306.145839432133 -22.9068766617084 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 665 627 449.952219685602 -2.8421709430404e-14 318.122666668957 -17.028474724169 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 660 630 449.952219685602 -2.8421709430404e-14 323.894390612923 -16.199497815775 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 659 630 449.952219685602 -2.8421709430404e-14 324.67002852453 -15.5683196871318 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 650 635 449.952219685602 -2.8421709430404e-14 334.806660372212 -13.7659060873796 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 642 639 449.952219685602 -2.8421709430404e-14 343.536476179643 -11.8190327046634 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 609 646 449.952219685602 -2.8421709430404e-14 373.550774163185 3.58038015931038 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 596 648 449.952219685602 -2.8421709430404e-14 384.896423271366 10.234420008457 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 592 651 449.952219685602 -2.8421709430404e-14 389.892509303725 10.4322187882079 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 592 651 449.952219685602 -2.8421709430404e-14 389.892509303725 10.4322187882079 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 588 661 449.952219685602 -2.8421709430404e-14 399.306842236585 5.2005521867078 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 582 671 449.952219685602 -2.8421709430404e-14 410.272450992661 1.23124184249403 FALSE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 576 684 449.952219685602 -2.8421709430404e-14 423.131594134666 -5.06498223654157 TRUE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 575 687 449.952219685602 -2.8421709430404e-14 425.800766432203 -6.76071784272023 TRUE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 566 697 449.952219685602 -2.8421709430404e-14 439.0932889231 -8.83649380100445 TRUE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 559 704 449.952219685602 -2.8421709430404e-14 448.941001204853 -9.84771228175322 TRUE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 557 705 449.952219685602 -2.8421709430404e-14 451.123455156711 -9.36099393607415 TRUE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 555 706 449.952219685602 -2.8421709430404e-14 453.305909108568 -8.87427559039509 TRUE
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 554 707 449.952219685602 -2.8421709430404e-14 454.712725148819 -9.01873537335919 TRUE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 756 519 419.401955169501 0 0 0 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 881 408 419.401955169501 0 163.108443241169 -36.6283461739978 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 929 389 419.401955169501 0 214.307536939533 -30.0213192733242 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1001 383 419.401955169501 0 280.215670316804 -0.422029506105801 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1015 383 419.401955169501 0 292.466447731334 6.35428606650856 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1031 383 419.401955169501 0 306.467336205082 14.098646720925 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1035 383 419.401955169501 0 309.967558323519 16.0347368845291 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1051 383 419.401955169501 0 323.968446797267 23.7790975389455 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1055 382 419.401955169501 0 327.952691456605 24.8401321729403 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1060 377 419.401955169501 0 334.748081809156 22.8849672293993 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1075 356 419.401955169501 0 358.038388112216 11.7691392211205 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1146 299 419.401955169501 0 447.756615545831 -3.74342556263355 TRUE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 297 419.401955169501 0 458.350271453335 -0.169288671940734 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 297 419.401955169501 0 458.350271453335 -0.169288671940734 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 419.401955169501 0 459.318316535137 -1.91939973115922 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 419.401955169501 0 459.318316535137 -1.91939973115922 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 419.401955169501 0 459.318316535137 -1.91939973115922 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 419.401955169501 0 459.318316535137 -1.91939973115922 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 419.401955169501 0 459.318316535137 -1.91939973115922 FALSE
1 24 1 1 1 16 6 350 552 697 1123 316 60 658 1157 295 419.401955169501 0 459.318316535137 -1.91939973115922 FALSE
